product_id,product_title,rating,total_reviews,price,top_reviews
itm2b7be11cfadef,"Apple iPhone 16 (Teal, 256 GB)",4.6,793,"₹84,900","5 Great product Loved it READ MORE Aryan Kumar Certified Buyer , Ranchi 5 months ago 69 8 Permalink Report Abuse || 5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 6 months ago 528 109 Permalink Report Abuse || 5 Super! Satisfied READ MORE Amit Kumar Chaudhary Certified Buyer , Patna 4 months ago 306 60 Permalink Report Abuse"
itmce4bb3f55cc2f,"Apple iPhone 16 (Teal, 128 GB)",4.6,793,"₹71,399","5 Great product Loved it READ MORE Aryan Kumar Certified Buyer , Ranchi 5 months ago 69 8 Permalink Report Abuse || 5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 6 months ago 528 109 Permalink Report Abuse || 5 Super! Satisfied READ MORE Amit Kumar Chaudhary Certified Buyer , Patna 4 months ago 306 60 Permalink Report Abuse"
itmb07d67f995271,"Apple iPhone 16 (Black, 128 GB)",4.6,793,"₹71,399","5 Great product Loved it READ MORE Aryan Kumar Certified Buyer , Ranchi 5 months ago 69 8 Permalink Report Abuse || 5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 6 months ago 528 109 Permalink Report Abuse || 5 Super! Satisfied READ MORE Amit Kumar Chaudhary Certified Buyer , Patna 4 months ago 306 60 Permalink Report Abuse"
itm7c0281cd247be,"Apple iPhone 16 (White, 128 GB)",4.6,793,"₹71,399","5 Great product Loved it READ MORE Aryan Kumar Certified Buyer , Ranchi 5 months ago 69 8 Permalink Report Abuse || 5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 6 months ago 528 109 Permalink Report Abuse || 5 Super! Satisfied READ MORE Amit Kumar Chaudhary Certified Buyer , Patna 4 months ago 306 60 Permalink Report Abuse"
itma0ed9b33a2973,"Apple iPhone 16 (White, 256 GB)",4.6,793,"₹84,900","5 Great product Loved it READ MORE Aryan Kumar Certified Buyer , Ranchi 5 months ago 69 8 Permalink Report Abuse || 5 Mind-blowing purchase Super and cool photo READ MORE Flipkart Customer Certified Buyer , Uttara Kannada District 6 months ago 528 109 Permalink Report Abuse || 5 Super! Satisfied READ MORE Amit Kumar Chaudhary Certified Buyer , Patna 4 months ago 306 60 Permalink Report Abuse"
itm140da3412b73b,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",4.1,"1,299","₹9,499","5 Brilliant Samsung Galaxy F06 5G The Samsung Galaxy F06 5G delivers an excellent display with vibrant colors and smooth performance, making the gaming experience seamless. The battery life is impressive, ensuring long hours of usage without frequent charging. One of the standout features is its camera, which is among the best in this segment, especially with portrait mode capturing great details. Additionally, the phone is lightweight, making it comfortable to carry and use for extended periods. Overa... READ MORE sankalp gupta Certified Buyer , Chhatarpur 5 months ago 1047 282 Permalink Report Abuse || 4 Value-for-money thank you Flipkart 😊 😍 Best product value for money READ MORE Kamal Kumar Certified Buyer , New Delhi 6 months ago 353 144 Permalink Report Abuse || 5 Best in the market! Perfect for students and professionals. I bought this F06 5G phone for my online classes and work calls , and guess what ? Its been a game changer .  The 6GB Ram ensures smooth multitasking and the 5000mAH battery easily lasts a full day . The large 6-7 inch display is bright and perfect for reading PDFs and attending Zoom meetings. READ MORE Aditi Negi Certified Buyer , Mohali 5 months ago 806 287 Permalink Report Abuse"
itm9acd4c5748761,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",4.1,581,"₹10,999","4 Wonderful Awesome phone! Best for normal use at this price READ MORE Madhumita Shil Certified Buyer , Siliguri 5 months ago 113 31 Permalink Report Abuse || 5 Really Nice Budget smartphone. At this price you get a lot. Camera for a beginner is good. Performance is also good as of now. READ MORE Prasanjeet Patra Certified Buyer , Cuttack 6 months ago 374 102 Permalink Report Abuse || 4 Delightful Normal user ok READ MORE Gow Gow Certified Buyer , Arasur 6 months ago 237 98 Permalink Report Abuse"
itm3281f9ac32d1a,"Motorola Edge 50 Pro 5G with 125W Charger (Luxe Lavender, 256 GB)",4.4,"4,400","₹27,999","4 Value-for-money Reviewing after 2days of using Moto Edge 50pro (125W, 12gb RAM variant) - Display - 10/10 Battery - 8/10 Camera - 8/10 Charging - 9/10 Pros - Light weight, premiumness, flagship features Cons- Lots of heating issues while charging, booting, long time scrolling, Battery drains little quick as expected. Charging speed(125W): 0-50% in 11min 0-80% in 20mins 0-100% in 29mins. This phone is very good as per the specs provided. You can go for it. I hope heating issues will be resolved in futu... READ MORE Tanmay Agarwal Certified Buyer , Bengaluru Apr, 2024 3111 744 Permalink Report Abuse || 5 Excellent I have been using this mobile for the last 6 days and overall I am very Happy with this mobile. 1. Design: The design is very eye-catching and, feels very good and confident to hold in hand. 2. Camera: Camera set up is really awesome and best in this segment. I was impressed with the night photography. The best cameras. 3. Screen: Very impressive screen, eye comfort, and curved screen gives a very unique look to the phone. 4. Battery: Battery back is good for one full day by keeping th... READ MORE Mayur Mule Certified Buyer , Bengaluru May, 2024 1506 384 Permalink Report Abuse || 5 Just wow! Do not believe the negative reviews. This is an amazing phone. I've switched from iPhone 11 and I'm in love with this already. I also got iPhone 14 plus for my wife but believe me this is much better than iPhone interms of display. Display - 10/10 - The display is awesome. Crystal clear 1.5k resolution. The colours are punchy and lively. I'm using a 120Hz refresh rate and it's smooth as butter. Edge to edge display is really awesome. If I have to pick one thing about the phone then it's the... READ MORE bharat manchikalapati Certified Buyer , Chirala Aug, 2024 751 187 Permalink Report Abuse"
itm235cd318bde73,"Apple iPhone 15 (Green, 128 GB)",4.6,"9,407","₹64,900","5 Worth every penny Just go for it.Amazing one.Beautiful camera with super fast processor READ MORE bijaya mohanty Certified Buyer , Baleshwar May, 2024 4317 1058 Permalink Report Abuse || 5 Fabulous! So beautiful, so elegant, just a vowww😍❤️ READ MORE Akshay Meena Certified Buyer , Jaipur Nov, 2023 897 202 Permalink Report Abuse || 5 Must buy! Nice 👌 READ MORE CHETAN  TILWALIA Certified Buyer , Loni Apr, 2024 72 10 Permalink Report Abuse"
itm01cc46d96a79f,"Motorola Edge 40 Neo (Black Beauty, 128 GB)",4.3,"6,077","₹22,999","5 Best in the market! I'm giving honest reviews after using it for more than a week. I'm mentioning cons first.. 1. The battery is not efficient for a whole long day you have to charge it twice per day. If you are a normal user and use it on only a 4g\lte network then you may use it for a whole working day. But if u are heavy user  you have to charge it minimum 2 times or may be 3 times. It totally depends up to your uses and needs ###. [PROS] But you will get a 68 watts fast charging adapter so don't worry it... READ MORE MRINMOY BARAI Certified Buyer , Nebadhai Duttapukur Oct, 2023 3316 720 Permalink Report Abuse || 5 Brilliant Great experience Camera quality is very good READ MORE Sourav Guchhait Certified Buyer , Howrah Oct, 2023 1954 477 Permalink Report Abuse || 5 Wonderful 🤩🤩🤩 Better Phone Under 20K 🤩🤩🤩🤩 READ MORE Rahul Mahobiya Certified Buyer , Sihora Oct, 2023 852 209 Permalink Report Abuse"
